CVE_NAME,Severity,hasExploit,hasNuclei,Added
CVE-2025-24200,HIGH,False,false,2025-02-11T18:02:39.000
CVE-2024-10644,CRITICAL,False,false,2025-02-11T18:02:45.000
CVE-2024-47908,CRITICAL,False,false,2025-02-11T18:02:51.000
CVE-2024-12755,HIGH,False,false,2025-02-11T18:02:56.000
CVE-2024-27781,HIGH,False,false,2025-02-11T18:03:02.000
CVE-2024-40584,HIGH,False,false,2025-02-11T18:03:07.000
CVE-2024-50567,HIGH,False,false,2025-02-11T18:03:13.000
CVE-2025-22399,HIGH,False,false,2025-02-11T18:03:18.000
CVE-2025-24406,HIGH,False,false,2025-02-12T06:02:42.000
CVE-2025-24407,HIGH,False,false,2025-02-12T06:02:48.000
CVE-2025-24410,HIGH,False,false,2025-02-12T06:02:53.000
CVE-2025-24412,HIGH,False,false,2025-02-12T06:02:58.000
CVE-2025-24413,HIGH,False,false,2025-02-12T06:03:04.000
CVE-2025-24414,HIGH,False,false,2025-02-12T06:03:09.000
CVE-2025-24415,HIGH,False,false,2025-02-12T06:03:15.000
CVE-2025-24416,HIGH,False,false,2025-02-12T06:03:20.000
CVE-2025-24417,HIGH,False,false,2025-02-12T06:03:25.000
CVE-2025-24438,HIGH,False,false,2025-02-12T06:03:31.000
CVE-2025-25203,HIGH,False,false,2025-02-12T06:03:36.000
CVE-2024-13653,HIGH,False,false,2025-02-12T06:03:41.000
CVE-2024-13654,HIGH,False,false,2025-02-12T06:03:47.000
CVE-2024-13656,HIGH,False,false,2025-02-12T06:03:52.000
CVE-2024-13800,HIGH,False,false,2025-02-12T06:03:57.000
CVE-2025-26520,HIGH,False,false,2025-02-12T12:02:54.000
CVE-2024-12296,HIGH,False,false,2025-02-12T12:02:59.000
CVE-2024-13435,HIGH,False,false,2025-02-12T12:03:05.000
CVE-2024-13473,HIGH,False,false,2025-02-12T12:03:10.000
CVE-2024-13475,HIGH,False,false,2025-02-12T12:03:15.000
CVE-2024-13490,HIGH,False,false,2025-02-12T12:03:21.000
CVE-2024-13531,HIGH,False,false,2025-02-12T12:03:26.000
CVE-2024-32838,CRITICAL,False,false,2025-02-12T12:03:32.000
CVE-2024-57000,CRITICAL,False,false,2025-02-12T18:02:44.000
CVE-2024-13477,HIGH,False,false,2025-02-12T18:02:49.000
CVE-2024-13480,HIGH,False,false,2025-02-12T18:02:55.000
CVE-2024-13532,HIGH,False,false,2025-02-12T18:03:01.000
CVE-2025-0511,HIGH,False,false,2025-02-12T18:03:06.000
CVE-2025-26349,HIGH,False,false,2025-02-12T18:03:12.000
CVE-2025-26354,HIGH,False,false,2025-02-12T18:03:17.000
CVE-2025-26356,HIGH,False,false,2025-02-12T18:03:23.000
CVE-2025-26368,HIGH,False,false,2025-02-12T18:03:29.000
CVE-2025-26369,HIGH,False,false,2025-02-12T18:03:34.000
CVE-2025-26370,HIGH,False,false,2025-02-12T18:03:40.000
CVE-2025-26371,HIGH,False,false,2025-02-12T18:03:46.000
CVE-2025-26372,HIGH,False,false,2025-02-12T18:03:51.000
CVE-2025-26375,HIGH,False,false,2025-02-12T18:03:57.000
CVE-2025-26377,HIGH,False,false,2025-02-12T18:04:02.000
CVE-2025-26378,HIGH,False,false,2025-02-12T18:04:08.000
CVE-2024-12251,HIGH,False,false,2025-02-12T18:04:13.000
CVE-2025-0376,HIGH,False,false,2025-02-12T18:04:19.000
CVE-2025-1244,HIGH,False,false,2025-02-12T18:04:25.000
CVE-2024-11343,HIGH,False,false,2025-02-12T18:04:30.000
CVE-2025-0332,HIGH,False,false,2025-02-12T18:04:36.000
CVE-2024-11629,HIGH,False,false,2025-02-12T18:04:41.000
CVE-2025-0937,HIGH,False,false,2025-02-13T00:07:15.000
CVE-2025-0110,HIGH,False,false,2025-02-13T00:07:20.000
CVE-2024-10763,CRITICAL,False,false,2025-02-13T06:02:24.000
CVE-2024-13345,HIGH,False,false,2025-02-13T12:03:08.000
CVE-2024-13346,HIGH,False,false,2025-02-13T12:03:14.000
CVE-2025-26551,HIGH,False,false,2025-02-13T18:02:44.000
CVE-2025-26552,HIGH,False,false,2025-02-13T18:02:50.000
CVE-2024-46910,HIGH,False,false,2025-02-14T00:07:10.000
CVE-2025-25388,CRITICAL,False,false,2025-02-14T00:07:16.000
CVE-2025-24888,HIGH,False,false,2025-02-14T00:07:21.000
CVE-2025-1127,CRITICAL,False,false,2025-02-14T00:07:26.000
CVE-2025-24861,HIGH,False,false,2025-02-14T00:07:32.000
CVE-2025-25067,CRITICAL,False,false,2025-02-14T00:07:37.000
CVE-2025-26511,HIGH,False,false,2025-02-14T06:02:46.000
CVE-2024-55904,HIGH,False,false,2025-02-14T06:02:51.000
CVE-2025-22630,CRITICAL,False,false,2025-02-14T12:03:12.000
CVE-2025-22962,HIGH,False,false,2025-02-14T18:02:26.000
CVE-2024-13152,CRITICAL,False,false,2025-02-14T18:02:32.000
CVE-2024-52500,HIGH,False,false,2025-02-14T18:02:38.000
CVE-2025-23428,HIGH,False,false,2025-02-14T18:02:43.000
CVE-2025-23431,HIGH,False,false,2025-02-14T18:02:49.000
CVE-2025-23474,HIGH,False,false,2025-02-14T18:02:54.000
CVE-2025-23492,HIGH,False,false,2025-02-14T18:03:00.000
CVE-2025-23523,HIGH,False,false,2025-02-14T18:03:05.000
CVE-2025-23525,HIGH,False,false,2025-02-14T18:03:11.000
CVE-2025-23568,HIGH,False,false,2025-02-14T18:03:16.000
CVE-2025-23571,HIGH,False,false,2025-02-14T18:03:22.000
